config,trades,winrate_pct,net_usd,maxdd_pct,days,days_per_trade,meets_wr,meets_freq,profitable
EMA M30 RR1.0 SLf1.5,32,50,-113.78,-5.89,533.2,16.66,FALSE,FALSE,FALSE
EMA M30 RR1.0 SLf1.5 RSI,1,0,-91.69,-0.92,533.2,533.19,FALSE,FALSE,FALSE
EMA M30 RR1.0 SLf2.0,97,53.6,119.37,-7.3,533.2,5.5,FALSE,FALSE,TRUE
EMA M30 RR1.0 SLf2.0 RSI,2,0,-184.71,-1.85,533.2,266.59,FALSE,FALSE,FALSE
EMA M30 RR1.5 SLf1.5,32,46.9,387.38,-3.95,533.2,16.66,FALSE,FALSE,TRUE
EMA M30 RR1.5 SLf1.5 RSI,1,0,-91.69,-0.92,533.2,533.19,FALSE,FALSE,FALSE
EMA M30 RR1.5 SLf2.0,95,47.4,944.03,-8.29,533.2,5.61,FALSE,FALSE,TRUE
EMA M30 RR1.5 SLf2.0 RSI,2,0,-184.71,-1.85,533.2,266.59,FALSE,FALSE,FALSE
EMA M30 RR2.0 SLf1.5,32,46.9,1043.73,-3.85,533.2,16.66,FALSE,FALSE,TRUE
EMA M30 RR2.0 SLf1.5 RSI,1,0,-91.69,-0.92,533.2,533.19,FALSE,FALSE,FALSE
EMA M30 RR2.0 SLf2.0,92,44.6,2127.71,-7.39,533.2,5.8,FALSE,FALSE,TRUE
EMA M30 RR2.0 SLf2.0 RSI,2,0,-184.71,-1.85,533.2,266.59,FALSE,FALSE,FALSE
EMA M15 RR1.0 SLf1.5,176,56.2,1064.93,-10.12,533.3,3.03,FALSE,FALSE,TRUE
EMA M15 RR1.0 SLf1.5 RSI,3,100,248.18,-0.54,533.3,177.77,FALSE,FALSE,TRUE
EMA M15 RR1.0 SLf2.0,209,56.9,1394.06,-8.81,533.3,2.55,FALSE,FALSE,TRUE
EMA M15 RR1.0 SLf2.0 RSI,3,100,248.18,-0.54,533.3,177.77,FALSE,FALSE,TRUE
EMA M15 RR1.5 SLf1.5,167,45.5,1374.16,-10.11,533.3,3.19,FALSE,FALSE,TRUE
EMA M15 RR1.5 SLf1.5 RSI,3,66.7,163.08,-2.28,533.3,177.77,FALSE,FALSE,TRUE
EMA M15 RR1.5 SLf2.0,193,46.6,1998.75,-10.74,533.3,2.76,FALSE,FALSE,TRUE
EMA M15 RR1.5 SLf2.0 RSI,3,66.7,163.08,-2.28,533.3,177.77,FALSE,FALSE,TRUE
EMA M15 RR2.0 SLf1.5,163,39.3,1947.47,-11.82,533.3,3.27,FALSE,FALSE,TRUE
EMA M15 RR2.0 SLf1.5 RSI,3,66.7,250.16,-2.27,533.3,177.77,FALSE,FALSE,TRUE
EMA M15 RR2.0 SLf2.0,186,38.7,1880.27,-11.57,533.3,2.87,FALSE,FALSE,TRUE
EMA M15 RR2.0 SLf2.0 RSI,3,66.7,250.16,-2.27,533.3,177.77,FALSE,FALSE,TRUE
EMA M5 RR1.0 SLf1.5,419,51.1,-2392.19,-32.4,427.2,1.02,FALSE,TRUE,FALSE
EMA M5 RR1.0 SLf1.5 RSI,5,80,232.61,-0.97,427.2,85.43,FALSE,FALSE,TRUE
EMA M5 RR1.0 SLf2.0,419,50.8,-2526.35,-33.95,427.2,1.02,FALSE,TRUE,FALSE
EMA M5 RR1.0 SLf2.0 RSI,5,80,232.61,-0.97,427.2,85.43,FALSE,FALSE,TRUE
EMA M5 RR1.5 SLf1.5,375,40,-2822.22,-42.56,427.2,1.14,FALSE,TRUE,FALSE
EMA M5 RR1.5 SLf1.5 RSI,5,40,-50.27,-3.94,427.2,85.43,FALSE,FALSE,FALSE
EMA M5 RR1.5 SLf2.0,379,40.4,-2405.09,-38.7,427.2,1.13,FALSE,TRUE,FALSE
EMA M5 RR1.5 SLf2.0 RSI,5,40,-50.27,-3.94,427.2,85.43,FALSE,FALSE,FALSE
EMA M5 RR2.0 SLf1.5,348,36.2,82.97,-26.85,427.2,1.23,FALSE,TRUE,TRUE
EMA M5 RR2.0 SLf1.5 RSI,5,40,48.63,-3.9,427.2,85.43,FALSE,FALSE,TRUE
EMA M5 RR2.0 SLf2.0,352,36.6,601.88,-23.87,427.2,1.21,FALSE,TRUE,TRUE
EMA M5 RR2.0 SLf2.0 RSI,5,40,48.63,-3.9,427.2,85.43,FALSE,FALSE,TRUE
PA M30 RR1.0 SLf1.5 flag+engulfing+triangle+hammer,59,55.9,569.21,-4.87,533.2,9.04,FALSE,FALSE,TRUE
PA M30 RR2.0 SLf1.5 flag+engulfing+triangle+hammer,58,37.9,696.39,-9.71,533.2,9.19,FALSE,FALSE,TRUE
PA M30 RR1.0 SLf1.5 flag,11,72.7,473.7,-1.67,533.2,48.47,TRUE,FALSE,TRUE
PA M30 RR2.0 SLf1.5 flag,11,54.5,647.98,-2.47,533.2,48.47,FALSE,FALSE,TRUE
PA M30 RR1.0 SLf1.5 flag+triangle,34,55.9,339.18,-5.11,533.2,15.68,FALSE,FALSE,TRUE
PA M30 RR2.0 SLf1.5 flag+triangle,34,38.2,426.38,-5.71,533.2,15.68,FALSE,FALSE,TRUE
PA M15 RR1.0 SLf1.5 flag+engulfing+triangle+hammer,168,51.2,-703.65,-15.65,533.3,3.17,FALSE,FALSE,FALSE
PA M15 RR2.0 SLf1.5 flag+engulfing+triangle+hammer,164,34.1,-616.5,-19.75,533.3,3.25,FALSE,FALSE,FALSE
PA M15 RR2.0 SLf1.5 flag,43,41.9,856.58,-4.81,533.3,12.4,FALSE,FALSE,TRUE
